ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
1,KB2,ARQ,Default,200,0.0005,1,25,1,0.2593,0.854701,0.961538,6170.46
2,KB2,ARQ,Default,200,0.0005,1,25,1,0.2084,0.854701,0.961538,7677.54
3,KB2,ARQ,Default,200,0.0005,1,25,0,0.2158,0.888889,1,7414.27
4,KB2,ARQ,Default,200,0.0005,1,25,2,0.2131,0.823045,0.925926,7508.21
5,KB2,ARQ,Default,200,0.0005,1,25,2,0.2143,0.823045,0.925926,7466.17
6,KB2,ARQ,Default,200,0.0005,1,25,2,0.2115,0.823045,0.925926,7565.01
7,KB2,ARQ,Default,200,0.0005,1,25,1,0.2047,0.854701,0.961538,7816.32
8,KB2,ARQ,Default,200,0.0005,1,25,1,0.204,0.854701,0.961538,7843.14
9,KB2,ARQ,Default,200,0.0005,1,25,0,0.2024,0.888889,1,7905.14
10,KB2,ARQ,Default,200,0.0005,1,25,2,0.2115,0.823045,0.925926,7565.01
11,KB2,ARQ,Default,200,0.0005,1,25,0,0.1994,0.888889,1,8024.07
12,KB2,ARQ,Default,200,0.0005,1,25,0,0.1992,0.888889,1,8032.13
13,KB2,ARQ,Default,200,0.0005,1,25,2,0.2219,0.823045,0.925926,7210.46
14,KB2,ARQ,Default,200,0.0005,1,25,1,0.2043,0.854701,0.961538,7831.62
15,KB2,ARQ,Default,200,0.0005,1,25,0,0.2028,0.888889,1,7889.55
16,KB2,ARQ,Default,200,0.0005,1,25,2,0.2115,0.823045,0.925926,7565.01
17,KB2,ARQ,Default,200,0.0005,1,25,1,0.2031,0.854701,0.961538,7877.89
18,KB2,ARQ,Default,200,0.0005,1,25,0,0.2006,0.888889,1,7976.07
19,KB2,ARQ,Default,200,0.0005,1,25,1,0.2048,0.854701,0.961538,7812.5
20,KB2,ARQ,Default,200,0.0005,1,25,0,0.2031,0.888889,1,7877.89
21,KB2,ARQ,Default,200,0.0005,1,25,3,0.219,0.793651,0.892857,7305.94
22,KB2,ARQ,Default,200,0.0005,1,25,1,0.2059,0.854701,0.961538,7770.76
23,KB2,ARQ,Default,200,0.0005,1,25,2,0.2129,0.823045,0.925926,7515.27
24,KB2,ARQ,Default,200,0.0005,1,25,3,0.2163,0.793651,0.892857,7397.13
25,KB2,ARQ,Default,200,0.0005,1,25,2,0.2134,0.823045,0.925926,7497.66
26,KB2,ARQ,Default,200,0.0005,1,25,0,0.2104,0.888889,1,7604.56
27,KB2,ARQ,Default,200,0.0005,1,25,0,0.2045,0.888889,1,7823.96
28,KB2,ARQ,Default,200,0.0005,1,25,1,0.2129,0.854701,0.961538,7515.27
29,KB2,ARQ,Default,200,0.0005,1,25,1,0.2036,0.854701,0.961538,7858.55
30,KB2,ARQ,Default,200,0.0005,1,25,2,0.2124,0.823045,0.925926,7532.96
31,KB2,ARQ,Default,200,0.0005,1,25,0,0.2095,0.888889,1,7637.23
32,KB2,ARQ,Default,200,0.0005,1,25,1,0.2098,0.854701,0.961538,7626.31
33,KB2,ARQ,Default,200,0.0005,1,25,0,0.2024,0.888889,1,7905.14
34,KB2,ARQ,Default,200,0.0005,1,25,1,0.2044,0.854701,0.961538,7827.79
35,KB2,ARQ,Default,200,0.0005,1,25,2,0.2124,0.823045,0.925926,7532.96
36,KB2,ARQ,Default,200,0.0005,1,25,0,0.2002,0.888889,1,7992.01
37,KB2,ARQ,Default,200,0.0005,1,25,1,0.2088,0.854701,0.961538,7662.84
38,KB2,ARQ,Default,200,0.0005,1,25,2,0.2147,0.823045,0.925926,7452.26
39,KB2,ARQ,Default,200,0.0005,1,25,0,0.2021,0.888889,1,7916.87
40,KB2,ARQ,Default,200,0.0005,1,25,0,0.2008,0.888889,1,7968.13
41,KB2,ARQ,Default,200,0.0005,1,25,1,0.2069,0.854701,0.961538,7733.2
42,KB2,ARQ,Default,200,0.0005,1,25,2,0.212,0.823045,0.925926,7547.17
43,KB2,ARQ,Default,200,0.0005,1,25,1,0.2038,0.854701,0.961538,7850.83
44,KB2,ARQ,Default,200,0.0005,1,25,3,0.2158,0.793651,0.892857,7414.27
45,KB2,ARQ,Default,200,0.0005,1,25,3,0.2157,0.793651,0.892857,7417.71
46,KB2,ARQ,Default,200,0.0005,1,25,0,0.1983,0.888889,1,8068.58
47,KB2,ARQ,Default,200,0.0005,1,25,0,0.2001,0.888889,1,7996
48,KB2,ARQ,Default,200,0.0005,1,25,1,0.2045,0.854701,0.961538,7823.96
49,KB2,ARQ,Default,200,0.0005,1,25,1,0.2075,0.854701,0.961538,7710.84
50,KB2,ARQ,Default,200,0.0005,1,25,2,0.2128,0.823045,0.925926,7518.8
51,KB2,ARQ,Default,200,0.0005,1,25,0,0.202,0.888889,1,7920.79
52,KB2,ARQ,Default,200,0.0005,1,25,0,0.2009,0.888889,1,7964.16
53,KB2,ARQ,Default,200,0.0005,1,25,2,0.338,0.823045,0.925926,4733.73
54,KB2,ARQ,Default,200,0.0005,1,25,0,0.3758,0.888889,1,4257.58
55,KB2,ARQ,Default,200,0.0005,1,25,1,0.2312,0.854701,0.961538,6920.42
56,KB2,ARQ,Default,200,0.0005,1,25,3,0.2224,0.793651,0.892857,7194.24
57,KB2,ARQ,Default,200,0.0005,1,25,0,0.32,0.888889,1,5000
58,KB2,ARQ,Default,200,0.0005,1,25,2,0.2153,0.823045,0.925926,7431.49
59,KB2,ARQ,Default,200,0.0005,1,25,0,0.2011,0.888889,1,7956.24
60,KB2,ARQ,Default,200,0.0005,1,25,0,0.2019,0.888889,1,7924.72
61,KB2,ARQ,Default,200,0.0005,1,25,0,0.2411,0.888889,1,6636.25
