ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
1,ARQ,0.001,1,50,1,0.2719,0.784314,5884.52
2,ARQ,0.001,1,50,0,0.303,0.8,5280.53
3,ARQ,0.001,1,50,2,0.2771,0.769231,5774.09
4,ARQ,0.001,1,50,3,0.2824,0.754717,5665.72
5,ARQ,0.001,1,50,3,0.2691,0.754717,5945.75
6,ARQ,0.001,1,50,2,0.2621,0.769231,6104.54
7,ARQ,0.001,1,50,1,0.2608,0.784314,6134.97
8,ARQ,0.001,1,50,2,0.2661,0.769231,6012.78
9,ARQ,0.001,1,50,1,0.2625,0.784314,6095.24
10,ARQ,0.001,1,50,1,0.2645,0.784314,6049.15
11,ARQ,0.001,1,50,6,0.2807,0.714286,5700.04
12,ARQ,0.001,1,50,1,0.2674,0.784314,5983.55
13,ARQ,0.001,1,50,2,0.2656,0.769231,6024.1
14,ARQ,0.001,1,50,3,0.2654,0.754717,6028.64
15,ARQ,0.001,1,50,3,0.284,0.754717,5633.8
16,ARQ,0.001,1,50,1,0.3033,0.784314,5275.3
17,ARQ,0.001,1,50,3,0.3499,0.754717,4572.74
18,ARQ,0.001,1,50,1,0.3109,0.784314,5146.35
19,ARQ,0.001,1,50,2,0.2962,0.769231,5401.76
20,ARQ,0.001,1,50,0,0.3042,0.8,5259.7
21,ARQ,0.001,1,50,2,0.2637,0.769231,6067.5
22,ARQ,0.001,1,50,0,0.257,0.8,6225.68
23,ARQ,0.001,1,50,2,0.2636,0.769231,6069.8
24,ARQ,0.001,1,50,2,0.2647,0.769231,6044.58
25,ARQ,0.001,1,50,3,0.28,0.754717,5714.29
26,ARQ,0.001,1,50,2,0.2677,0.769231,5976.84
27,ARQ,0.001,1,50,0,0.2586,0.8,6187.16
28,ARQ,0.001,1,50,4,0.2916,0.740741,5486.97
29,ARQ,0.001,1,50,2,0.2694,0.769231,5939.12
30,ARQ,0.001,1,50,5,0.2786,0.727273,5743
31,ARQ,0.001,1,50,5,0.3192,0.727273,5012.53
32,ARQ,0.001,1,50,2,0.272,0.769231,5882.35
33,ARQ,0.001,1,50,3,0.2685,0.754717,5959.03
34,ARQ,0.001,1,50,2,0.2917,0.769231,5485.09
35,ARQ,0.001,1,50,1,0.2959,0.784314,5407.23
36,ARQ,0.001,1,50,2,0.404,0.769231,3960.4
37,ARQ,0.001,1,50,0,0.346,0.8,4624.28
38,ARQ,0.001,1,50,0,0.301,0.8,5315.61
39,ARQ,0.001,1,50,1,0.3305,0.784314,4841.15
40,ARQ,0.001,1,50,4,0.274,0.740741,5839.42
41,ARQ,0.001,1,50,1,0.2688,0.784314,5952.38
42,ARQ,0.001,1,50,3,0.3996,0.754717,4004
43,ARQ,0.001,1,50,1,0.3717,0.784314,4304.55
44,ARQ,0.001,1,50,1,0.3145,0.784314,5087.44
45,ARQ,0.001,1,50,0,0.2667,0.8,5999.25
46,ARQ,0.001,1,50,0,0.2573,0.8,6218.42
47,ARQ,0.001,1,50,3,0.2684,0.754717,5961.25
48,ARQ,0.001,1,50,6,0.2742,0.714286,5835.16
49,ARQ,0.001,1,50,3,0.2642,0.754717,6056.02
50,ARQ,0.001,1,50,0,0.2583,0.8,6194.35
51,ARQ,0.001,1,50,0,0.26,0.8,6153.85
52,ARQ,0.001,1,50,1,0.2598,0.784314,6158.58
53,ARQ,0.001,1,50,1,0.2643,0.784314,6053.73
54,ARQ,0.001,1,50,3,0.2686,0.754717,5956.81
55,ARQ,0.001,1,50,2,0.2666,0.769231,6001.5
56,ARQ,0.001,1,50,3,0.422,0.754717,3791.47
57,ARQ,0.001,1,50,2,0.482,0.769231,3319.5
58,ARQ,0.001,1,50,0,0.4415,0.8,3624.01
59,ARQ,0.001,1,50,2,0.5682,0.769231,2815.91
60,ARQ,0.001,1,50,2,0.4817,0.769231,3321.57
61,ARQ,0.001,1,50,3,0.4945,0.754717,3235.59
62,ARQ,0.001,1,50,3,0.4548,0.754717,3518.03
63,ARQ,0.001,1,50,0,0.4545,0.8,3520.35
